chunk_id,podcast_id,filename,podcast_title,chunk_index,content_preview,embedding_size
614,16,2025-06-04_All-In with Chamath_ Jason_ Sacks _ Friedberg_Jared Isaacman_ What went wrong at NASA _ The All-In Interview.txt,All In with Chamath Jason Sacks Friedberg Jared Isaacman What went wrong at NASA The All In Interview,8,were a little short and we came back and I was like man we almost got everything done and then Elon sent a tweet right after Splashdown. 40 minutes after Splashdown and he said put me in for 50 millio,15993
434,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,123,"I got into that, as soon as I got into, quote, unquote, ""real competition,"" I was like, I wonder how far you can take this. And it didn't take that long before I decided, you know what? I can take thi",15966
245,7,2025-06-12_TanStack and the Future of Frontend with Tanner Linsley.txt,TanStack and the Future of Frontend with Tanner Linsley,7,"Because I see that touted as like a huge feature. And to be honest, I haven't dug into it enough yet to fully understand that. Could you explain that to me? [0:18:03] TL: I think the best illustration",15999
28,2,2025-06-17_SED News_ Corporate Spies_ Postgres_ and the Weird Life of Devs Right Now.txt,SED News Corporate Spies Postgres and the Weird Life of Devs Right Now,4,"see what happens. It probably will set some precedent for companies in the future for how far they wish to take it when it comes to this sort of, is it espionage, or is it just sort of the tech world?",15998
650,17,2025-07-11_All-In with Chamath_ Jason_ Sacks _ Friedberg_Grok 4 Wows_ The Bitter Lesson_ Elon_s Third Party_ AI Browsers_ SCOTUS backs POTUS on RIFs.txt,All In with Chamath Jason Sacks Friedberg Grok 4 Wows The Bitter Lesson Elon s Third Party AI Browsers SCOTUS backs POTUS on RIFs,12,"I'm just going to define the chessboard. I'm gonna give the players certain boundaries in which they can move, right? So the bishop can only move diagonally and there's a couple of boundary conditions",15993
197,6,2025-06-21_All-In with Chamath_ Jason_ Sacks _ Friedberg_IPOs and SPACs are Back_ Mag 7 Showdown_ Zuck on Tilt_ Apple_s Fumble_ GENIUS Act passes Senate.txt,All In with Chamath Jason Sacks Friedberg IPOs and SPACs are Back Mag 7 Showdown Zuck on Tilt Apple s Fumble GENIUS Act passes Senate,13,"are being made. If we were looking at those number one and number two, which one do you think gets to AGI first, Thomas? Well, wait, hold on. By the way, the other thing you should note, Jason, which ",15968
43,2,2025-06-17_SED News_ Corporate Spies_ Postgres_ and the Weird Life of Devs Right Now.txt,SED News Corporate Spies Postgres and the Weird Life of Devs Right Now,19,"surprising that the model makes mistakes. Yeah. [0:37:29] GV: It's frustrating, but I quite like the fact that I found something that it doesn't do very well yet, and I find that kind of fun, and how ",16031
427,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,116,"obvious to me are just bullshit of the time. Oh, you should need whatever shellfish, because in that region of the world. There was something, something, something, okay, fine. But there's a bunch of ",16000
222,6,2025-06-21_All-In with Chamath_ Jason_ Sacks _ Friedberg_IPOs and SPACs are Back_ Mag 7 Showdown_ Zuck on Tilt_ Apple_s Fumble_ GENIUS Act passes Senate.txt,All In with Chamath Jason Sacks Friedberg IPOs and SPACs are Back Mag 7 Showdown Zuck on Tilt Apple s Fumble GENIUS Act passes Senate,38,important in terms of a company going public and how we think about participating. Give the listeners the guidance there. So for the first thing bigger is better than smaller. Correct. So it's number ,16018
46,3,2025-06-13_All-In with Chamath_ Jason_ Sacks _ Friedberg_ICE Raids_ LA Riots_ Strong Economic Data_ Politicized Fed_ Iran War with Tucker Carlson.txt,All In with Chamath Jason Sacks Friedberg ICE Raids LA Riots Strong Economic Data Politicized Fed Iran War with Tucker Carlson,0,"# Podcast Transcript # Show: All-In with Chamath, Jason, Sacks & Friedberg # Episode: ICE Raids, LA Riots, Strong Economic Data, Politicized Fed, Iran War with Tucker Carlson # YouTube URL: https://ww",15996
